Port,Port Name,Port RegionId,Indicator,Indicator Name,Indicator unit,Scale,Units,2018,2019,2020,2021,2022
KN.A28,Mombasa,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,0.53
KN.A29,Mossel Bay,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,1597950,1518597,1802992,1995491,1747858
KN.A29,Mossel Bay,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-247633
KN.A29,Mossel Bay,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,-13.73
KN.A30,Nacala,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,875500,950100,755700,763257,785200
KN.A30,Nacala,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,21943
KN.A30,Nacala,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,2.9
KN.A30,Nacala,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,32171,34045,44687,49770,52620
KN.A30,Nacala,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,2850
KN.A30,Nacala,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,6.38
KN.A31,Namibe,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,1150000,1200000,1212000,1224120,1225200
KN.A31,Namibe,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,1080
KN.A31,Namibe,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,0.09
KN.A32,Pemba,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,5241,7973,8244,9295,7846
KN.A32,Pemba,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-1449
KN.A32,Pemba,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-17.58
KN.A33,Port Elizabeth,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,369759,392813,422846,423885,309018
KN.A33,Port Elizabeth,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-114867
KN.A33,Port Elizabeth,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-27.17
KN.A34,Port Suda,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,7857967,9270190,8317633,8400809,8484000
KN.A34,Port Suda,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,83191
KN.A34,Port Suda,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,1
